,url,title,author,views,lang,grade,subject,chapter
35,https://www.youtube.com/watch?v=EzdiN1OdPZc,3. 9C01.4 CV3 वाष्पीकरण के कारक,Avanti Sankalp,17026,hindi,9,science,Matter in Our Surroundings
36,https://www.youtube.com/watch?v=Y-WrG7k82o0,4. 9C01.4 CV4 वाष्पीकरण से शीतलता,Avanti Sankalp,14011,hindi,9,science,Matter in Our Surroundings
37,https://www.youtube.com/watch?v=4gaz0jOh0xQ,5. 9C01.4 अभ्यास 1,Avanti Sankalp,10991,hindi,9,science,Matter in Our Surroundings
38,https://www.youtube.com/watch?v=WDrlUjm4K28,6. 9C01.4 अभ्यास 2,Avanti Sankalp,9507,hindi,9,science,Matter in Our Surroundings
39,https://www.youtube.com/watch?v=xVWNGU30Enk,7. 9C01.4 अभ्यास 3,Avanti Sankalp,8268,hindi,9,science,Matter in Our Surroundings
40,https://www.youtube.com/watch?v=xh-JKLUippo,1. 9C01 सारांश,Avanti Sankalp,34889,hindi,9,science,Matter in Our Surroundings
41,https://www.youtube.com/watch?v=dPX_2LPaIEM,2. 9C01.1 पदार्थ क्या है  - उदाहरण 1,Avanti Sankalp,9212,hindi,9,science,Matter in Our Surroundings
42,https://www.youtube.com/watch?v=IHXbk_HR_Og,3. 9C01.1 पदार्थ क्या है  - उदाहरण 2,Avanti Sankalp,7395,hindi,9,science,Matter in Our Surroundings
43,https://www.youtube.com/watch?v=ZO_RFTkz_UY,4. 9C01.2 पदार्थ की अवस्थाएँ  - उदाहरण 11,Avanti Sankalp,5921,hindi,9,science,Matter in Our Surroundings
44,https://www.youtube.com/watch?v=F-PERN3UnsM,5. 9C01.2 पदार्थ की अवस्थाएँ  - उदाहरण 2,Avanti Sankalp,5706,hindi,9,science,Matter in Our Surroundings
45,https://www.youtube.com/watch?v=2ZXd36YHu-o,6. 9C01.3 पदार्थ की अवस्था में परिवर्तन - उदाहरण 1,Avanti Sankalp,5292,hindi,9,science,Matter in Our Surroundings
46,https://www.youtube.com/watch?v=hIOoG16L420,7. 9C01.3 पदार्थ की अवस्था में परिवर्तन - उदाहरण 2,Avanti Sankalp,5298,hindi,9,science,Matter in Our Surroundings
47,https://www.youtube.com/watch?v=lvmEmeSacV0,8. 9C01.4 वाष्पीकरण - उदाहरण,Avanti Sankalp,5963,hindi,9,science,Matter in Our Surroundings
