,url,title,author,desc,views,lang,grade,subject,chapter
30,https://www.youtube.com/watch?v=iZhGvOZ1CWM,8.1.2.1.D1 - 8th Std Maths Made Sweet - Rational numbers - Fill in the blanks - Exercise 1.2 1-2,Maths Made Sweet,,72,tamil,8,mathematics,Number System
31,https://www.youtube.com/watch?v=JwbXpALnJLI,8.1.2.1.D2 - 8th Std Maths Made Sweet - Rational numbers - Fill in the blanks - Exercise 1.2 3-6,Maths Made Sweet,,46,tamil,8,mathematics,Number System
32,https://www.youtube.com/watch?v=9MLE7ObMhA8,8.1.2.1.E - 8th Std Maths Made Sweet - Rational numbers - Fill in the blanks - Exercise 1.2 7-10,Maths Made Sweet,,116,tamil,8,mathematics,Number System
33,https://www.youtube.com/watch?v=4PXdujdgpvw,8.1.2.1.F - 8th Std Maths Made Sweet - Rational numbers - Fill in the blanks - Exercise 1.2 11-15,Maths Made Sweet,,45,tamil,8,mathematics,Number System
34,https://www.youtube.com/watch?v=xQ3rlw4UBUI,8.1.2.1.G - 8th Std Maths Made Sweet - Rational numbers - Verifying properties - Exercise 1.3 1-3,Maths Made Sweet,,62,tamil,8,mathematics,Number System
35,https://www.youtube.com/watch?v=F85_XalcEoQ,8.1.2.1.H1 - 8th Std Maths Made Sweet - Rational numbers - Verifying properties - Exercise 1.3 4,Maths Made Sweet,,81,tamil,8,mathematics,Number System
36,https://www.youtube.com/watch?v=mztDGO2dm1U,8.1.2.1.H2 - 8th Std Maths Made Sweet - Rational numbers - Verifying properties - Exercise 1.3 5-6,Maths Made Sweet,,42,tamil,8,mathematics,Number System
37,https://www.youtube.com/watch?v=_Xf_pjFxt2o,8.1.2.1.I - 8th Std Maths Made Sweet - Rational numbers - Objective questions - Exercise 1.3 7-10,Maths Made Sweet,,34,tamil,8,mathematics,Number System
38,https://www.youtube.com/watch?v=Uqkdh76VJ_E,8.1.2.1.J - 8th Std Maths Made Sweet - Rational numbers - Finding Squares- Exercise 1.4 1-3,Maths Made Sweet,,90,tamil,8,mathematics,Number System
39,https://www.youtube.com/watch?v=GKV2NwFpLPQ,8.1.2.1.K1 - 8th Std Maths Made Sweet - Rational numbers - Finding Square root- Exercise 1.4 4-6,Maths Made Sweet,,60,tamil,8,mathematics,Number System
40,https://www.youtube.com/watch?v=q5gYhGL0SFI,8.1.2.1.K2 - 8th Std Maths Made Sweet - Rational numbers - Finding Square root- Exercise 1.4 7-8,Maths Made Sweet,,65,tamil,8,mathematics,Number System
41,https://www.youtube.com/watch?v=n8ZJwst4Z10,8.1.2.1.L - 8th Std Maths Made Sweet - Rational numbers - Objective questions - Exercise 1.4 9-15,Maths Made Sweet,,50,tamil,8,mathematics,Number System
42,https://www.youtube.com/watch?v=yQlvIj0vNmc,8.1.2.2.A1 - 8th Std Maths Made Sweet - Rational numbers - Fill in the blanks - Exercise 1.5 1,Maths Made Sweet,,31,tamil,8,mathematics,Number System
43,https://www.youtube.com/watch?v=qmlS8q7lL-E,8.1.2.2.A2 - 8th Std Maths Made Sweet - Rational numbers - Fill in the blanks - Exercise 1.5 2,Maths Made Sweet,,58,tamil,8,mathematics,Number System
44,https://www.youtube.com/watch?v=R1jXULixSCY,8.1.2.2.B - 8th Std Maths Made Sweet - Finding the cube - Exercise 1.5 3-6,Maths Made Sweet,,90,tamil,8,mathematics,Number System
45,https://www.youtube.com/watch?v=A6Yua4rySIY,8.1.2.2.C - 8th Std Maths Made Sweet - Finding the cube root - Exercise 1.5 7-10,Maths Made Sweet,,101,tamil,8,mathematics,Number System
46,https://www.youtube.com/watch?v=hWE57fY7-o4,8.1.2.2.D - 8th Std Maths Made Sweet - Fill in the blanks - Exercise 1.6 1-3,Maths Made Sweet,,42,tamil,8,mathematics,Number System
47,https://www.youtube.com/watch?v=DXpi8w-bIo0,8.1.2.2.E - 8th Std Maths Made Sweet - Finding Values of Exponents - Exercise 1.6 4-8,Maths Made Sweet,,42,tamil,8,mathematics,Number System
